Depth	Speed	Tip	Friction	Pressure	SBT
80.381	2	0.41858	0.27624	-0.04962	5
80.446	2.29	0.41988	0.28055	-0.04719	5
80.512	2	0.42046	0.28456	-0.04519	5
80.577	2	0.42052	0.28803	-0.04323	5
80.643	2	0.42138	0.28836	-0.04146	5
80.709	2.29	0.42094	0.28771	-0.04078	5
80.774	2	0.42064	0.28434	-0.03993	5
80.84	2.29	0.41968	0.2805	-0.03835	5
80.906	2	0.41843	0.27748	-0.03753	5
80.971	2.21	0.4164	0.2767	-0.03599	5
81.037	2	0.4156	0.27476	-0.03466	5
81.102	2	0.415	0.27422	-0.03343	5
81.168	2	0.41562	0.27533	-0.03264	5
81.234	2.29	0.41612	0.2771	-0.0326	5
81.299	0.21	0.41532	0.28086	-0.03158	5
81.365	2.29	0.41477	0.2845	-0.03001	5
81.43	2	0.41539	0.28371	-0.02967	5
81.496	2	0.41394	0.28302	-0.02848	5
81.562	2	0.41291	0.28275	-0.02695	5
81.627	2.29	0.41186	0.28158	-0.01996	5
81.693	2	0.41029	0.27913	-0.02144	5
81.759	2	0.41025	0.27535	-0.0189	5
81.824	2.29	0.4099	0.27223	-0.01638	5
81.89	2	0.41056	0.27141	-0.01455	5
81.955	2	0.41155	0.27184	-0.0132	5
82.021	2.29	0.41154	0.27118	-0.01227	5
82.087	2	0.4127	0.27059	-0.00912	5
82.152	2	0.41245	0.26947	-0.00722	5
82.218	2	0.41253	0.26948	-0.00607	5
82.283	2.29	0.41143	0.26741	-0.00352	5
82.349	2	0.41049	0.26584	-0.00128	5
82.415	2	0.4093	0.26253	0.00121	5
82.48	2	0.40871	0.25987	0.00195	5
82.546	2.29	0.4074	0.25723	0.00385	5
82.612	2	0.40706	0.25425	0.00524	5
82.677	2.29	0.40723	0.25193	0.00653	5
82.743	2	0.40677	0.25076	0.00827	5
82.808	2	0.40656	0.25071	0.0101	5
82.874	2.29	0.40635	0.25035	0.01071	5
82.94	2	0.40591	0.25012	0.01238	5
83.005	2	0.40579	0.25041	0.01346	5
83.071	2.29	0.40569	0.25031	0.01512	5
83.136	2	0.40511	0.25056	0.01654	5
83.202	2	0.40465	0.24975	0.01929	5
83.268	2.29	0.405	0.24864	0.02081	5
83.333	2	0.4053	0.24853	0.02234	5
83.399	2	0.40566	0.24888	0.02403	5
83.465	2.29	0.4064	0.24896	0.02608	5
83.53	2	0.40674	0.24885	0.0282	5
83.596	2	0.40743	0.24916	0.03033	5
83.661	2	0.4074	0.2495	0.03276	5
83.727	2	0.40726	0.24976	0.0342	5
83.793	2.29	0.40672	0.25014	0.03638	5
83.858	2	0.40659	0.25133	0.03804	5
83.924	2	0.40619	0.25223	0.04036	5
